,code,name,carrier,late aircraft,national aviation system,security,weather,cancelled,delayed,diverted,on time,total,carrier,late aircraft,national aviation system,security,total,weather,month
51679,BOS,"Boston, MA: Logan International",20,26,31,0,2,4,79,0,165,248,1473,1888,2113,0,5672,198,5
51680,DEN,"Denver, CO: Denver International",39,38,55,1,3,12,136,0,255,403,2415,3154,3305,66,9214,274,5
51681,IAH,"Houston, TX: George Bush Intercontinental/Houston",43,75,125,1,6,13,250,6,252,521,3375,6811,8258,197,19228,587,5
51682,TPA,"Tampa, FL: Tampa International",18,25,26,0,1,4,71,0,74,149,1266,2220,1827,7,5410,90,5
51683,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",8,6,6,0,2,4,22,0,36,62,423,303,193,0,1267,348,5
51684,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",72,107,103,2,5,10,290,1,740,1041,3919,10066,6003,85,20429,356,5
51685,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",31,44,45,0,2,6,122,0,202,330,1321,3231,3603,0,8308,153,5
51686,LAX,"Los Angeles, CA: Los Angeles International",50,46,62,1,8,1,167,0,228,396,3612,3632,3666,43,11795,842,5
51687,ORD,"Chicago, IL: Chicago O'Hare International",78,155,251,1,6,28,491,1,503,1023,5651,12385,14403,27,33316,850,5
51688,PHL,"Philadelphia, PA: Philadelphia International",10,22,24,0,1,7,57,0,60,124,659,1542,1480,0,3696,15,5
51689,PDX,"Portland, OR: Portland International",12,10,14,0,2,5,37,0,51,93,566,755,628,0,2075,126,5
51690,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",50,94,42,3,3,13,191,0,1662,1866,6140,5460,1184,116,13032,132,5
51691,SLC,"Salt Lake City, UT: Salt Lake City International",85,169,83,1,9,21,348,1,3763,4133,8886,9623,2453,67,22003,974,5
51692,LAX,"Los Angeles, CA: Los Angeles International",89,280,264,0,12,34,645,0,2873,3552,7700,14738,7882,9,31390,1061,5
51693,DTW,"Detroit, MI: Detroit Metro Wayne County",43,64,38,1,12,12,157,0,821,990,3170,3635,1707,13,9562,1037,5
51694,MSP,"Minneapolis, MN: Minneapolis-St Paul International",53,108,158,1,11,20,331,0,1858,2209,6422,7777,4640,11,19597,747,5
51695,IAH,"Houston, TX: George Bush Intercontinental/Houston",82,156,196,0,18,46,452,21,1006,1525,7207,11259,11025,0,32068,2577,5
51696,SAN,"San Diego, CA: San Diego International",26,41,15,0,0,3,82,0,469,554,1267,1660,399,0,3326,0,5
51697,DEN,"Denver, CO: Denver International",135,288,254,2,10,47,689,20,3344,4100,13129,16044,7883,77,38020,887,5
51698,ORD,"Chicago, IL: Chicago O'Hare International",86,266,174,0,15,84,541,7,2806,3438,6872,15464,7314,4,30723,1069,5
51699,SFO,"San Francisco, CA: San Francisco International",74,332,456,1,7,63,870,1,2159,3093,10392,20852,27336,34,59197,583,5
51700,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",32,30,47,2,8,9,119,5,281,414,1664,2343,2355,189,7207,656,5
51701,LGA,"New York, NY: LaGuardia",1,0,0,0,0,0,1,0,8,9,56,0,0,0,56,0,5
51702,PDX,"Portland, OR: Portland International",17,33,5,0,0,7,55,1,469,532,1712,2028,140,0,3880,0,5
51703,SEA,"Seattle, WA: Seattle/Tacoma International",31,55,17,0,1,11,104,1,1046,1162,2385,3368,499,0,6336,84,5
51704,LAS,"Las Vegas, NV: McCarran International",18,23,14,0,0,2,55,1,190,248,1166,1077,417,0,2660,0,5
51705,CLT,"Charlotte, NC: Charlotte Douglas International",4,3,2,0,0,1,9,0,38,48,188,132,122,0,467,25,5
51706,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",23,20,21,0,1,4,65,2,312,383,1903,1467,789,0,4229,70,5
51707,BOS,"Boston, MA: Logan International",3,1,0,0,1,0,5,0,28,33,126,41,0,0,208,41,5
51708,MIA,"Miami, FL: Miami International",6,2,11,0,0,3,20,0,8,31,460,189,434,0,1083,0,5
51709,IAD,"Washington, DC: Washington Dulles International",0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5
51710,DCA,"Washington, DC: Ronald Reagan Washington National",12,4,7,0,1,1,24,0,74,99,467,251,413,0,1352,221,5
51711,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",32,26,14,0,4,1,75,2,224,302,1342,1986,570,0,4130,232,5
51712,DEN,"Denver, CO: Denver International",276,252,245,1,45,20,819,31,3234,4104,14100,19036,8817,41,44898,2904,5
